,HU,MD,PL,RO,SK
2022-02-01 02:00:00+02:00,536.0,8.0,143.0,367.0,0.0
2022-02-01 03:00:00+02:00,492.0,0.0,142.0,358.0,0.0
2022-02-01 04:00:00+02:00,449.0,16.0,142.0,376.0,0.0
2022-02-01 05:00:00+02:00,431.0,0.0,143.0,493.0,0.0
2022-02-01 06:00:00+02:00,370.0,0.0,140.0,547.0,0.0
2022-02-01 07:00:00+02:00,348.0,6.0,140.0,556.0,0.0
2022-02-01 08:00:00+02:00,291.0,40.0,141.0,535.0,0.0
2022-02-01 09:00:00+02:00,263.0,0.0,143.0,596.0,0.0
2022-02-01 10:00:00+02:00,253.0,1.0,143.0,641.0,0.0
2022-02-01 11:00:00+02:00,214.0,0.0,141.0,649.0,0.0
2022-02-01 12:00:00+02:00,243.0,0.0,142.0,573.0,0.0
2022-02-01 13:00:00+02:00,230.0,0.0,143.0,571.0,0.0
2022-02-01 14:00:00+02:00,223.0,0.0,138.0,555.0,0.0
2022-02-01 15:00:00+02:00,257.0,0.0,141.0,523.0,0.0
2022-02-01 16:00:00+02:00,286.0,0.0,142.0,469.0,0.0
2022-02-01 17:00:00+02:00,273.0,0.0,142.0,439.0,0.0
2022-02-01 18:00:00+02:00,292.0,0.0,143.0,457.0,0.0
2022-02-01 19:00:00+02:00,316.0,11.0,143.0,528.0,0.0
2022-02-01 20:00:00+02:00,327.0,0.0,143.0,529.0,0.0
2022-02-01 21:00:00+02:00,382.0,28.0,144.0,492.0,0.0
2022-02-01 22:00:00+02:00,425.0,21.0,142.0,501.0,0.0
2022-02-01 23:00:00+02:00,421.0,0.0,143.0,568.0,0.0
2022-02-02 00:00:00+02:00,451.0,0.0,142.0,559.0,0.0
2022-02-02 01:00:00+02:00,514.0,0.0,144.0,458.0,0.0
2022-02-02 02:00:00+02:00,513.0,0.0,142.0,468.0,0.0
2022-02-02 03:00:00+02:00,491.0,0.0,143.0,475.0,0.0
2022-02-02 04:00:00+02:00,473.0,30.0,141.0,499.0,0.0
2022-02-02 05:00:00+02:00,438.0,0.0,143.0,526.0,0.0
2022-02-02 06:00:00+02:00,379.0,0.0,143.0,661.0,0.0
2022-02-02 07:00:00+02:00,398.0,0.0,145.0,575.0,0.0
2022-02-02 08:00:00+02:00,343.0,13.0,143.0,627.0,0.0
2022-02-02 09:00:00+02:00,284.0,0.0,142.0,636.0,0.0
2022-02-02 10:00:00+02:00,233.0,0.0,140.0,676.0,0.0
2022-02-02 11:00:00+02:00,220.0,0.0,143.0,651.0,0.0
2022-02-02 12:00:00+02:00,215.0,0.0,143.0,655.0,0.0
2022-02-02 13:00:00+02:00,200.0,0.0,141.0,630.0,0.0
2022-02-02 14:00:00+02:00,216.0,25.0,142.0,661.0,0.0
2022-02-02 15:00:00+02:00,233.0,0.0,142.0,643.0,0.0
2022-02-02 16:00:00+02:00,269.0,0.0,144.0,552.0,0.0
2022-02-02 17:00:00+02:00,270.0,9.0,144.0,494.0,0.0
2022-02-02 18:00:00+02:00,271.0,4.0,142.0,454.0,0.0
2022-02-02 19:00:00+02:00,302.0,0.0,142.0,399.0,0.0
2022-02-02 20:00:00+02:00,328.0,44.0,144.0,426.0,0.0
2022-02-02 21:00:00+02:00,354.0,0.0,143.0,338.0,0.0
2022-02-02 22:00:00+02:00,443.0,0.0,142.0,269.0,0.0
2022-02-02 23:00:00+02:00,483.0,0.0,143.0,297.0,0.0
2022-02-03 00:00:00+02:00,500.0,0.0,140.0,290.0,0.0
2022-02-03 01:00:00+02:00,570.0,21.0,143.0,310.0,0.0
2022-02-03 02:00:00+02:00,614.0,14.0,140.0,304.0,0.0
2022-02-03 03:00:00+02:00,617.0,31.0,140.0,253.0,0.0
2022-02-03 04:00:00+02:00,618.0,0.0,140.0,240.0,0.0
2022-02-03 05:00:00+02:00,622.0,25.0,140.0,277.0,0.0
2022-02-03 06:00:00+02:00,511.0,0.0,141.0,527.0,0.0
2022-02-03 07:00:00+02:00,463.0,98.0,141.0,386.0,0.0
2022-02-03 08:00:00+02:00,427.0,167.0,142.0,320.0,0.0
2022-02-03 09:00:00+02:00,429.0,0.0,143.0,373.0,0.0
2022-02-03 10:00:00+02:00,441.0,268.0,141.0,272.0,0.0
2022-02-03 11:00:00+02:00,491.0,0.0,142.0,235.0,0.0
2022-02-03 12:00:00+02:00,467.0,8.0,143.0,136.0,5.0
2022-02-03 13:00:00+02:00,422.0,0.0,137.0,121.0,23.0
2022-02-03 14:00:00+02:00,428.0,0.0,141.0,99.0,19.0
2022-02-03 15:00:00+02:00,422.0,0.0,144.0,207.0,0.0
2022-02-03 16:00:00+02:00,454.0,0.0,144.0,282.0,0.0
2022-02-03 17:00:00+02:00,479.0,0.0,144.0,311.0,0.0
2022-02-03 18:00:00+02:00,456.0,0.0,145.0,456.0,0.0
2022-02-03 19:00:00+02:00,492.0,10.0,144.0,421.0,0.0
2022-02-03 20:00:00+02:00,522.0,0.0,143.0,393.0,0.0
2022-02-03 21:00:00+02:00,568.0,45.0,144.0,289.0,0.0
2022-02-03 22:00:00+02:00,601.0,61.0,143.0,198.0,0.0
2022-02-03 23:00:00+02:00,634.0,0.0,144.0,365.0,0.0
2022-02-04 00:00:00+02:00,626.0,8.0,143.0,407.0,0.0
2022-02-04 01:00:00+02:00,516.0,0.0,137.0,381.0,0.0
2022-02-04 02:00:00+02:00,529.0,2.0,137.0,351.0,0.0
2022-02-04 03:00:00+02:00,495.0,0.0,135.0,380.0,0.0
2022-02-04 04:00:00+02:00,468.0,0.0,135.0,433.0,0.0
2022-02-04 05:00:00+02:00,449.0,74.0,136.0,500.0,0.0
2022-02-04 06:00:00+02:00,363.0,0.0,134.0,624.0,0.0
2022-02-04 07:00:00+02:00,359.0,0.0,134.0,629.0,0.0
2022-02-04 08:00:00+02:00,301.0,0.0,135.0,641.0,0.0
2022-02-04 09:00:00+02:00,324.0,0.0,134.0,661.0,0.0
2022-02-04 10:00:00+02:00,311.0,0.0,130.0,559.0,0.0
2022-02-04 11:00:00+02:00,299.0,15.0,132.0,436.0,0.0
2022-02-04 12:00:00+02:00,290.0,14.0,134.0,415.0,0.0
2022-02-04 13:00:00+02:00,296.0,0.0,134.0,443.0,0.0
2022-02-04 14:00:00+02:00,285.0,0.0,134.0,400.0,0.0
2022-02-04 15:00:00+02:00,306.0,0.0,133.0,497.0,0.0
2022-02-04 16:00:00+02:00,329.0,14.0,133.0,544.0,0.0
2022-02-04 17:00:00+02:00,329.0,12.0,134.0,569.0,0.0
2022-02-04 18:00:00+02:00,331.0,0.0,132.0,550.0,0.0
2022-02-04 19:00:00+02:00,342.0,41.0,132.0,541.0,0.0
2022-02-04 20:00:00+02:00,361.0,0.0,132.0,492.0,0.0
2022-02-04 21:00:00+02:00,405.0,9.0,132.0,398.0,0.0
2022-02-04 22:00:00+02:00,469.0,0.0,133.0,396.0,0.0
2022-02-04 23:00:00+02:00,507.0,59.0,134.0,451.0,0.0
2022-02-05 00:00:00+02:00,510.0,28.0,132.0,448.0,0.0
2022-02-05 01:00:00+02:00,556.0,0.0,196.0,439.0,0.0
2022-02-05 02:00:00+02:00,540.0,16.0,207.0,460.0,0.0
2022-02-05 03:00:00+02:00,509.0,0.0,212.0,454.0,0.0
2022-02-05 04:00:00+02:00,485.0,0.0,211.0,469.0,0.0
2022-02-05 05:00:00+02:00,462.0,13.0,210.0,506.0,0.0
2022-02-05 06:00:00+02:00,422.0,39.0,202.0,574.0,0.0
2022-02-05 07:00:00+02:00,427.0,92.0,204.0,569.0,0.0
2022-02-05 08:00:00+02:00,348.0,0.0,206.0,552.0,0.0
2022-02-05 09:00:00+02:00,264.0,0.0,205.0,604.0,0.0
2022-02-05 10:00:00+02:00,224.0,0.0,205.0,584.0,0.0
2022-02-05 11:00:00+02:00,218.0,1.0,205.0,586.0,0.0
2022-02-05 12:00:00+02:00,265.0,0.0,205.0,535.0,0.0
2022-02-05 13:00:00+02:00,266.0,0.0,204.0,587.0,0.0
2022-02-05 14:00:00+02:00,242.0,0.0,202.0,631.0,0.0
2022-02-05 15:00:00+02:00,266.0,0.0,202.0,636.0,0.0
2022-02-05 16:00:00+02:00,253.0,0.0,202.0,632.0,0.0
2022-02-05 17:00:00+02:00,272.0,0.0,203.0,580.0,0.0
2022-02-05 18:00:00+02:00,327.0,0.0,203.0,456.0,0.0
2022-02-05 19:00:00+02:00,362.0,43.0,205.0,468.0,0.0
2022-02-05 20:00:00+02:00,389.0,0.0,208.0,357.0,0.0
2022-02-05 21:00:00+02:00,419.0,34.0,210.0,346.0,0.0
2022-02-05 22:00:00+02:00,478.0,0.0,210.0,288.0,0.0
2022-02-05 23:00:00+02:00,526.0,0.0,208.0,260.0,0.0
2022-02-06 00:00:00+02:00,576.0,0.0,208.0,227.0,0.0
2022-02-06 01:00:00+02:00,632.0,3.0,209.0,236.0,0.0
2022-02-06 02:00:00+02:00,602.0,0.0,208.0,303.0,0.0
2022-02-06 03:00:00+02:00,577.0,0.0,209.0,323.0,0.0
2022-02-06 04:00:00+02:00,554.0,0.0,209.0,,0.0
2022-02-06 05:00:00+02:00,540.0,4.0,210.0,378.0,0.0
2022-02-06 06:00:00+02:00,509.0,0.0,207.0,445.0,0.0
2022-02-06 07:00:00+02:00,480.0,0.0,211.0,513.0,0.0
2022-02-06 08:00:00+02:00,452.0,8.0,210.0,506.0,0.0
2022-02-06 09:00:00+02:00,460.0,5.0,209.0,458.0,0.0
2022-02-06 10:00:00+02:00,483.0,0.0,211.0,380.0,0.0
2022-02-06 11:00:00+02:00,496.0,0.0,210.0,306.0,0.0
2022-02-06 12:00:00+02:00,449.0,0.0,211.0,257.0,0.0
2022-02-06 13:00:00+02:00,451.0,34.0,210.0,208.0,0.0
2022-02-06 14:00:00+02:00,456.0,23.0,209.0,229.0,0.0
2022-02-06 15:00:00+02:00,488.0,0.0,211.0,238.0,0.0
2022-02-06 16:00:00+02:00,494.0,43.0,206.0,264.0,0.0
2022-02-06 17:00:00+02:00,467.0,64.0,209.0,289.0,0.0
2022-02-06 18:00:00+02:00,452.0,31.0,207.0,378.0,0.0
2022-02-06 19:00:00+02:00,451.0,0.0,209.0,398.0,0.0
2022-02-06 20:00:00+02:00,484.0,31.0,207.0,382.0,0.0
2022-02-06 21:00:00+02:00,478.0,45.0,209.0,345.0,0.0
2022-02-06 22:00:00+02:00,518.0,0.0,208.0,253.0,0.0
2022-02-06 23:00:00+02:00,602.0,0.0,208.0,213.0,0.0
2022-02-07 00:00:00+02:00,579.0,0.0,208.0,247.0,0.0
2022-02-07 01:00:00+02:00,607.0,0.0,208.0,146.0,0.0
2022-02-07 02:00:00+02:00,568.0,0.0,210.0,160.0,0.0
2022-02-07 03:00:00+02:00,536.0,0.0,214.0,167.0,0.0
2022-02-07 04:00:00+02:00,520.0,0.0,211.0,162.0,0.0
2022-02-07 05:00:00+02:00,501.0,0.0,207.0,223.0,0.0
2022-02-07 06:00:00+02:00,407.0,0.0,209.0,374.0,0.0
2022-02-07 07:00:00+02:00,436.0,0.0,208.0,274.0,0.0
2022-02-07 08:00:00+02:00,369.0,5.0,208.0,196.0,0.0
2022-02-07 09:00:00+02:00,378.0,0.0,210.0,200.0,0.0
2022-02-07 10:00:00+02:00,379.0,0.0,209.0,160.0,0.0
2022-02-07 11:00:00+02:00,366.0,0.0,211.0,217.0,0.0
2022-02-07 12:00:00+02:00,364.0,39.0,210.0,247.0,0.0
2022-02-07 13:00:00+02:00,376.0,0.0,210.0,234.0,0.0
2022-02-07 14:00:00+02:00,373.0,0.0,211.0,198.0,0.0
2022-02-07 15:00:00+02:00,359.0,0.0,210.0,173.0,0.0
2022-02-07 16:00:00+02:00,339.0,26.0,209.0,156.0,0.0
2022-02-07 17:00:00+02:00,327.0,0.0,208.0,194.0,0.0
2022-02-07 18:00:00+02:00,319.0,0.0,206.0,212.0,0.0
2022-02-07 19:00:00+02:00,337.0,0.0,210.0,264.0,0.0
2022-02-07 20:00:00+02:00,355.0,0.0,210.0,220.0,0.0
2022-02-07 21:00:00+02:00,390.0,0.0,209.0,171.0,0.0
2022-02-07 22:00:00+02:00,461.0,12.0,218.0,149.0,0.0
2022-02-07 23:00:00+02:00,533.0,0.0,204.0,120.0,0.0
2022-02-08 00:00:00+02:00,596.0,0.0,214.0,93.0,0.0
2022-02-08 01:00:00+02:00,576.0,0.0,212.0,158.0,0.0
2022-02-08 02:00:00+02:00,580.0,0.0,214.0,187.0,0.0
2022-02-08 03:00:00+02:00,571.0,0.0,216.0,154.0,0.0
2022-02-08 04:00:00+02:00,550.0,0.0,219.0,137.0,0.0
2022-02-08 05:00:00+02:00,524.0,0.0,215.0,136.0,0.0
2022-02-08 06:00:00+02:00,521.0,38.0,219.0,193.0,0.0
2022-02-08 07:00:00+02:00,499.0,22.0,214.0,190.0,0.0
2022-02-08 08:00:00+02:00,451.0,0.0,214.0,240.0,0.0
2022-02-08 09:00:00+02:00,412.0,0.0,216.0,265.0,0.0
2022-02-08 10:00:00+02:00,387.0,0.0,214.0,221.0,0.0
2022-02-08 11:00:00+02:00,378.0,15.0,215.0,188.0,0.0
2022-02-08 12:00:00+02:00,394.0,38.0,214.0,158.0,0.0
2022-02-08 13:00:00+02:00,405.0,29.0,215.0,121.0,0.0
2022-02-08 14:00:00+02:00,454.0,24.0,216.0,133.0,0.0
2022-02-08 15:00:00+02:00,481.0,2.0,216.0,173.0,0.0
2022-02-08 16:00:00+02:00,515.0,0.0,216.0,129.0,0.0
2022-02-08 17:00:00+02:00,490.0,0.0,220.0,132.0,0.0
2022-02-08 18:00:00+02:00,473.0,0.0,218.0,187.0,0.0
2022-02-08 19:00:00+02:00,471.0,0.0,217.0,209.0,0.0
2022-02-08 20:00:00+02:00,494.0,12.0,217.0,183.0,0.0
2022-02-08 21:00:00+02:00,487.0,12.0,214.0,184.0,0.0
2022-02-08 22:00:00+02:00,504.0,0.0,209.0,217.0,0.0
2022-02-08 23:00:00+02:00,524.0,88.0,214.0,238.0,0.0
2022-02-09 00:00:00+02:00,567.0,69.0,213.0,314.0,0.0
2022-02-09 01:00:00+02:00,505.0,0.0,215.0,361.0,0.0
2022-02-09 02:00:00+02:00,484.0,0.0,216.0,383.0,0.0
2022-02-09 03:00:00+02:00,451.0,41.0,215.0,399.0,0.0
2022-02-09 04:00:00+02:00,427.0,65.0,218.0,419.0,0.0
